1,1/10/2022,08:08
1,1/10/2022,12:08
1,1/10/2022,13:08
1,1/10/2022,16:08
1,2/10/2022,08:09
1,2/10/2022,11:08
1,2/10/2022,12:10
1,2/10/2022,16:20
1,3/10/2022,08:28
1,3/10/2022,09:08
1,3/10/2022,12:00
1,3/10/2022,13:08
1,3/10/2022,18:08
1,4/10/2022,08:08
1,4/10/2022,12:08
1,4/10/2022,13:14
1,4/10/2022,18:00
1,5/10/2022,08:05
1,5/10/2022,12:08
1,5/10/2022,13:08
1,5/10/2022,17:08
1,6/10/2022,08:08
1,6/10/2022,11:08
1,6/10/2022,13:08
1,6/10/2022,18:08
1,7/10/2022,08:08
1,7/10/2022,12:09
1,7/10/2022,13:08
1,7/10/2022,16:08
1,8/10/2022,08:08
1,8/10/2022,12:08
1,8/10/2022,13:08
1,8/10/2022,18:08
1,9/10/2022,08:08
1,9/10/2022,12:45
1,9/10/2022,13:20
1,9/10/2022,18:08
1,10/10/2022,08:08
1,10/10/2022,09:25
1,10/10/2022,11:08
1,10/10/2022,12:45
1,10/10/2022,13:24
1,10/10/2022,18:20
